tic_id,hostname,pl_name,pl_orbper,pl_rade,st_teff,st_rad,st_mass,disc_facility
TIC 377780790,Kepler-10,Kepler-10 b,0.837,1.489,5708.0,1.075,0.905,Kepler
TIC 159654016,Kepler-100,Kepler-100 b,6.887037,1.305,5859.0,1.5582,1.059,Kepler
TIC 158322296,Kepler-1000,Kepler-1000 b,120.0181272,4.67,6749.0,1.484,1.338,Kepler
TIC 405719252,Kepler-1001,Kepler-1001 b,14.30511983,2.909,5440.0,0.796,0.902,Kepler
TIC 275494505,Kepler-1002,Kepler-1002 b,4.336429331,1.63,6099.0,1.557,1.206,Kepler
TIC 63074840,Kepler-1003,Kepler-1003 b,3.554856338,1.29,6068.0,0.831,0.931,Kepler
TIC 28159194,Kepler-1004,Kepler-1004 b,5.28789787,6.28,4972.0,3.39,1.11,Kepler
TIC 158215347,Kepler-1005,Kepler-1005 b,6.498013,1.56,6057.0,1.04,1.032,Kepler
TIC 271960115,Kepler-1006,Kepler-1006 b,19.76169247,2.81,6327.0,1.175,1.064,Kepler
TIC 272074477,Kepler-1007,Kepler-1007 b,5.18498,1.51,4450.0,0.59,0.62,Kepler
TIC 272491981,Kepler-1008,Kepler-1008 b,12.43929428,1.3,4987.0,0.773,0.742,Kepler
TIC 164411478,Kepler-1009,Kepler-1009 b,11.350106,1.94,4086.0,0.528,0.553,Kepler
TIC 48304653,Kepler-101,Kepler-101 b,3.4876812,5.77,5667.0,1.56,1.17,Kepler
TIC 158989909,Kepler-1010,Kepler-1010 b,34.26749,2.4,5299.0,0.84,0.794,Kepler
TIC 273130565,Kepler-1011,Kepler-1011 b,5.753201,2.2,5284.0,0.79,0.81,Kepler
TIC 158986490,Kepler-1012,Kepler-1012 b,5.508576,1.34,5517.0,0.95,0.844,Kepler
TIC 159304741,Kepler-1013,Kepler-1013 b,18.93054959,2.15,4954.0,0.76,0.81,Kepler
TIC 164883912,Kepler-1014,Kepler-1014 b,16.57099265,2.03,5483.0,0.779,0.865,Kepler
TIC 63373862,Kepler-1015,Kepler-1015 b,16.0049,3.0,6716.0,1.34,1.28,Kepler
TIC 271164596,Kepler-1016,Kepler-1016 b,1.954524342,2.12,6060.0,0.953,1.036,Kepler
TIC 237188153,Kepler-1017,Kepler-1017 b,7.23400381,1.78,5411.0,0.85,0.879,Kepler
TIC 164555061,Kepler-1018,Kepler-1018 b,49.1011093,3.28,5393.0,1.11,0.895,Kepler
TIC 164556761,Kepler-1019,Kepler-1019 b,1.4112265,1.3,4368.0,0.573,0.605,Kepler
TIC 123357864,Kepler-102,Kepler-102 b,5.28691996,0.51,4900.0,0.741,0.806,Kepler
TIC 63362217,Kepler-1020,Kepler-1020 b,96.91492,2.3,5271.0,0.74,0.837,Kepler
TIC 271537790,Kepler-1021,Kepler-1021 b,13.47469571,2.07,5413.0,0.747,0.801,Kepler
TIC 159051188,Kepler-1022,Kepler-1022 b,10.994615,2.02,4379.0,0.576,0.606,Kepler
TIC 299154193,Kepler-1023,Kepler-1023 b,62.1385979,5.14,5123.0,1.621,0.941,Kepler
TIC 137349536,Kepler-1024,Kepler-1024 b,66.4159,3.3,5186.0,0.74,0.93,Kepler
TIC 164727439,Kepler-1025,Kepler-1025 b,37.32281,2.0,6290.0,1.06,1.13,Kepler
TIC 237192046,Kepler-1026,Kepler-1026 b,36.5156053,2.21,4948.0,0.75,0.79,Kepler
TIC 158552426,Kepler-1027,Kepler-1027 b,1.907805199,0.89,5436.0,0.82,0.91,Kepler
TIC 416265126,Kepler-1028,Kepler-1028 b,2.514615,1.49,5659.0,0.83,0.94,Kepler
TIC 137409907,Kepler-1029,Kepler-1029 b,4.417692516,1.57,4766.0,0.664,0.723,Kepler
TIC 121865656,Kepler-103,Kepler-103 b,15.965316,3.476,5895.0,1.56257,1.07,Kepler
TIC 270617362,Kepler-1030,Kepler-1030 b,19.32945602,2.26,5026.0,0.763,0.875,Kepler
TIC 27769737,Kepler-1031,Kepler-1031 b,1.22621732,0.78,6095.0,0.991,1.059,Kepler
TIC 122139228,Kepler-1032,Kepler-1032 b,3.290114076,1.49,4484.0,0.594,0.58,Kepler
TIC 164560648,Kepler-1033,Kepler-1033 b,7.560344,2.31,5853.0,0.89,0.99,Kepler
TIC 120762990,Kepler-1034,Kepler-1034 b,12.124,2.1,5240.0,0.77,0.8,Kepler
TIC 158927791,Kepler-1035,Kepler-1035 b,2.71406,1.13,5794.0,0.94,0.946,Kepler
TIC 27396869,Kepler-1036,Kepler-1036 b,122.8767,2.8,5590.0,0.82,0.919,Kepler
TIC 272282253,Kepler-1037,Kepler-1037 b,1.06378861,1.61,5265.0,1.002,0.919,Kepler
TIC 268483792,Kepler-1038,Kepler-1038 b,148.4569,7.6,5251.0,1.68,0.912,Kepler
TIC 274020852,Kepler-1039,Kepler-1039 b,0.934884242,1.345,4766.0,0.695,0.767,Kepler
TIC 158553540,Kepler-104,Kepler-104 b,11.427512,2.14,5711.0,0.93,0.807,Kepler
TIC 48217265,Kepler-1040,Kepler-1040 b,201.118319,2.28,5646.0,0.954,0.929,Kepler
TIC 27007509,Kepler-1041,Kepler-1041 b,24.75724,2.39,6103.0,0.97,1.065,Kepler
TIC 121734006,Kepler-1042,Kepler-1042 b,10.13195,2.41,4619.0,0.82,0.8,Kepler
TIC 123358827,Kepler-1043,Kepler-1043 b,38.50519,2.5,6017.0,0.94,1.042,Kepler
TIC 275488493,Kepler-1044,Kepler-1044 b,6.773958,3.0,6210.0,1.01,1.1,Kepler
TIC 164670756,Kepler-1045,Kepler-1045 b,26.41044199,2.45,5448.0,0.734,0.815,Kepler
TIC 272601000,Kepler-1046,Kepler-1046 b,14.37504582,2.05,5931.0,1.053,1.023,Kepler
TIC 299029323,Kepler-1047,Kepler-1047 b,56.1886436,2.56,5700.0,1.176,1.071,Kepler
TIC 123408693,Kepler-1048,Kepler-1048 b,6.92101021,1.36,4461.0,0.585,0.571,Kepler
TIC 158489095,Kepler-1049,Kepler-1049 b,3.27,0.96,,,,Kepler
TIC 158625964,Kepler-105,Kepler-105 b,5.412,2.54,6065.0,1.015,1.027,Kepler
TIC 48216453,Kepler-1050,Kepler-1050 b,15.3787546,1.436,5846.0,0.998,1.062,Kepler
TIC 138968338,Kepler-1051,Kepler-1051 b,25.96190067,3.25,6369.0,1.729,1.337,Kepler
TIC 271661839,Kepler-1052,Kepler-1052 b,34.85333,2.71,5836.0,0.88,0.987,Kepler
TIC 137152419,Kepler-1053,Kepler-1053 b,2.41434868,0.97,4507.0,0.724,0.715,Kepler
TIC 159441326,Kepler-1054,Kepler-1054 b,4.30643,1.5,5866.0,0.91,1.06,Kepler
TIC 159440697,Kepler-1055,Kepler-1055 b,2.295026,1.31,5782.0,0.89,0.96,Kepler
TIC 268935452,Kepler-1056,Kepler-1056 b,27.4954,2.6,5707.0,1.03,0.901,Kepler
TIC 169463893,Kepler-1057,Kepler-1057 b,14.08818,2.7,5831.0,0.88,0.987,Kepler
TIC 271164394,Kepler-1058,Kepler-1058 b,110.9643706,2.11,4441.0,0.546,0.538,Kepler
TIC 121943952,Kepler-1059,Kepler-1059 b,3.764162,1.57,4883.0,0.64,0.82,Kepler
TIC 184997417,Kepler-106,Kepler-106 b,6.16486,0.82,5858.0,1.04,1.0,Kepler
TIC 120691237,Kepler-1060,Kepler-1060 b,46.8776724,2.62,5504.0,0.993,0.943,Kepler
TIC 27776660,Kepler-1061,Kepler-1061 b,2.757977384,1.69,5919.0,1.0,0.994,Kepler
TIC 120043084,Kepler-1062,Kepler-1062 b,9.30412078,1.64,4458.0,0.658,0.645,Kepler
TIC 122451550,Kepler-1063,Kepler-1063 b,14.07969236,2.08,5821.0,1.547,1.092,Kepler
TIC 137315852,Kepler-1064,Kepler-1064 b,16.54080322,1.26,5094.0,0.644,0.694,Kepler
TIC 378012771,Kepler-1065,Kepler-1065 b,3.609308907,3.47,5668.0,0.868,0.963,Kepler
TIC 268379849,Kepler-1066,Kepler-1066 b,1.93155546,2.25,5461.0,0.858,0.957,Kepler
TIC 351910733,Kepler-1067,Kepler-1067 b,0.762129261,0.7,5614.0,0.827,0.908,Kepler
TIC 271165395,Kepler-1068,Kepler-1068 b,16.92333,3.4,5805.0,0.95,1.07,Kepler
TIC 417659970,Kepler-1069,Kepler-1069 b,23.8990075,3.26,5511.0,1.93,1.115,Kepler
TIC 27988327,Kepler-107,Kepler-107 b,3.179962,1.58,5949.0,1.18,1.183,Kepler
TIC 26814296,Kepler-1070,Kepler-1070 b,6.22161107,1.59,6277.0,1.097,1.148,Kepler
TIC 275490723,Kepler-1071,Kepler-1071 b,6.1799844,1.47,4932.0,0.492,0.528,Kepler
TIC 63072565,Kepler-1072,Kepler-1072 b,1.56906,1.35,6292.0,1.07,1.13,Kepler
TIC 138568416,Kepler-1073,Kepler-1073 b,8.67888593,1.95,5741.0,0.833,0.91,Kepler
TIC 164724987,Kepler-1074,Kepler-1074 b,5.94565516,1.12,3974.0,0.564,0.581,Kepler
TIC 158489841,Kepler-1075,Kepler-1075 b,1.52372816,1.38,3900.0,0.537,0.559,Kepler
TIC 399955825,Kepler-1076,Kepler-1076 b,6.14727918,0.8,4868.0,0.74,0.79,Kepler
TIC 159574927,Kepler-1077,Kepler-1077 b,34.3511339,2.75,6091.0,0.967,1.045,Kepler
TIC 275494550,Kepler-1078,Kepler-1078 b,3.00725068,1.56,5667.0,0.781,0.873,Kepler
TIC 268932150,Kepler-1079,Kepler-1079 b,13.24503188,1.63,5758.0,1.36,1.08,Kepler
TIC 271164755,Kepler-108,Kepler-108 b,49.18354,9.56,5584.26,,,Kepler
TIC 27847814,Kepler-1080,Kepler-1080 b,77.2548396,3.28,5956.0,1.16,1.1,Kepler
TIC 122066167,Kepler-1081,Kepler-1081 b,3.856874,2.0,5413.0,1.55,0.909,Kepler
TIC 299218775,Kepler-1082,Kepler-1082 b,1.543198,1.02,6125.0,0.98,1.076,Kepler
TIC 164458639,Kepler-1083,Kepler-1083 b,33.4177993,3.22,5142.0,0.745,0.825,Kepler
TIC 267749737,Kepler-1084,Kepler-1084 b,2.05333679,1.11,6113.0,1.28,1.12,Kepler
TIC 158487108,Kepler-1085,Kepler-1085 b,219.3215562,6.11,6063.0,1.012,1.117,Kepler
TIC 271545939,Kepler-1086,Kepler-1086 b,18.78423,1.73,4317.0,0.565,0.595,Kepler
TIC 271353794,Kepler-1087,Kepler-1087 b,0.693842661,0.83,5457.0,1.196,0.903,Kepler
TIC 123316231,Kepler-1088,Kepler-1088 b,23.1274171,1.44,5865.0,1.066,1.024,Kepler
TIC 350810654,Kepler-1089,Kepler-1089 b,5.13,1.69,,,,Kepler
